Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,211.000000,214.009995,209.020004,212.940002,208.880173,1852900
2019-09-04,215.279999,222.220001,215.229996,221.600006,217.375107,2403200
2019-09-05,227.169998,232.259995,225.539993,226.740005,222.417084,2837300
2019-09-06,227.110001,229.940002,225.100006,227.919998,223.574585,1680700
2019-09-09,229.720001,232.639999,228.169998,230.339996,225.948441,2194800
2019-09-10,229.649994,232.000000,226.490005,231.940002,227.517944,1727400
2019-09-11,232.179993,234.750000,230.559998,234.009995,229.548477,1828800
2019-09-12,235.000000,236.339996,231.690002,234.869995,230.392075,1230800
2019-09-13,236.630005,237.899994,233.940002,235.559998,231.068939,1598200
2019-09-16,232.789993,237.080002,230.619995,234.940002,230.460754,1159600
2019-09-17,234.190002,236.800003,232.399994,236.779999,232.265671,1429100
2019-09-18,235.009995,238.690002,234.320007,237.639999,233.109253,1491600
2019-09-19,238.800003,238.899994,235.360001,236.860001,232.344131,1252600
2019-09-20,237.210007,239.399994,233.309998,235.309998,230.823700,3320600
2019-09-23,235.000000,240.089996,234.380005,238.240005,233.697845,1202500
2019-09-24,239.199997,240.000000,234.320007,235.860001,231.363205,1818000
2019-09-25,232.990005,241.960007,232.770004,241.600006,236.993774,1706300
2019-09-26,241.850006,244.979996,241.100006,242.830002,238.200333,1668400
2019-09-27,238.809998,238.809998,227.460007,230.080002,225.693405,2940900
2019-09-30,229.729996,233.309998,227.289993,231.110001,227.842575,1543500
2019-10-01,233.000000,235.529999,228.210007,230.389999,227.132782,1493400
2019-10-02,227.179993,229.580002,225.949997,228.000000,224.776566,1475700
2019-10-03,229.320007,230.119995,225.169998,229.050003,225.811707,1361600
2019-10-04,230.169998,233.410004,229.429993,233.270004,229.972061,1061300
2019-10-07,233.169998,234.500000,231.919998,232.139999,228.858032,1128500
2019-10-08,229.869995,231.250000,225.000000,227.699997,224.480804,1502800
2019-10-09,232.000000,234.740005,231.070007,233.130005,229.834045,1573900
2019-10-10,232.589996,237.410004,232.169998,234.619995,231.302948,1288700
2019-10-11,239.809998,240.279999,236.610001,237.089996,233.738037,1199500
2019-10-14,236.419998,238.300003,235.639999,236.279999,232.939484,770300
2019-10-15,237.759995,243.580002,236.800003,242.050003,238.627930,1793200
2019-10-16,238.000000,239.889999,233.759995,234.759995,231.440979,1941300
2019-10-17,238.889999,240.289993,235.279999,236.100006,232.762054,1280800
2019-10-18,235.699997,235.699997,230.229996,233.699997,230.395981,1523800
2019-10-21,236.979996,239.869995,235.250000,238.460007,235.088684,1215200
2019-10-22,239.589996,240.050003,234.839996,234.910004,231.588852,990100
2019-10-23,232.570007,235.479996,231.149994,233.179993,229.883316,1978600
2019-10-24,252.449997,265.850006,251.949997,265.600006,261.844971,5683100
2019-10-25,265.000000,270.630005,263.010010,270.049988,266.232056,2507200
2019-10-28,272.540009,282.000000,272.100006,281.250000,277.273712,2528100
2019-10-29,280.470001,282.880005,275.570007,276.489990,272.580994,2079600
2019-10-30,276.410004,278.359985,274.000000,277.559998,273.635864,1172500
2019-10-31,276.790009,277.540009,267.230011,271.040009,267.208069,2699300
2019-11-01,273.820007,278.510010,272.299988,278.260010,274.325989,1545300
2019-11-04,280.000000,281.720001,274.410004,278.100006,274.168274,1290400
2019-11-05,279.549988,280.820007,274.390015,277.950012,274.020386,1483900
2019-11-06,276.459991,276.720001,270.250000,275.510010,271.614868,1690700
2019-11-07,278.250000,278.299988,272.299988,274.109985,270.234650,1106700
2019-11-08,271.299988,273.250000,269.100006,272.679993,268.824860,1373000
2019-11-11,269.660004,273.109985,268.630005,271.260010,267.424957,1179400
2019-11-12,275.600006,276.570007,269.000000,270.010010,266.192627,1106100
2019-11-13,268.869995,272.869995,267.670013,272.459991,268.607971,861100
2019-11-14,271.799988,275.809998,270.809998,275.089996,271.200806,1202900
2019-11-15,280.140015,285.869995,280.000000,283.679993,279.669342,2126400
2019-11-18,282.760010,285.769989,280.799988,282.700012,278.703217,1366200
2019-11-19,284.570007,284.570007,276.579987,276.760010,272.847168,1365400
2019-11-20,275.980011,277.260010,270.399994,274.130005,270.254364,1266100
2019-11-21,265.720001,269.679993,262.899994,263.899994,260.169006,2407000
2019-11-22,265.480011,266.670013,260.119995,261.980011,258.276154,1273600
2019-11-25,264.070007,270.059998,263.670013,269.010010,265.206757,1988500
2019-11-26,270.000000,271.410004,267.220001,269.559998,265.748993,1789800
2019-11-27,270.799988,272.059998,269.380005,270.940002,267.109497,874400
2019-11-29,270.799988,270.799988,265.790009,266.829987,263.057556,759000
2019-12-02,266.480011,266.480011,261.329987,262.940002,259.222595,1316600
2019-12-03,256.790009,261.600006,255.500000,257.839996,254.194656,1594700
2019-12-04,262.750000,264.440002,261.369995,262.869995,259.153564,1207300
2019-12-05,264.649994,265.250000,262.429993,264.820007,261.076019,1103800
2019-12-06,268.000000,272.579987,266.850006,269.859985,266.044739,1358900
2019-12-09,271.309998,272.209991,267.059998,268.019989,264.230743,1027200
2019-12-10,268.500000,271.630005,267.179993,268.989990,266.329773,1183000
2019-12-11,268.750000,276.049988,268.519989,275.399994,272.676392,1557900
2019-12-12,274.450012,285.529999,274.089996,284.700012,281.884430,1827600
2019-12-13,283.890015,288.869995,280.510010,281.950012,279.161621,2278600
2019-12-16,286.149994,288.440002,284.250000,284.250000,281.438873,1526300
2019-12-17,286.500000,291.250000,285.329987,290.570007,287.696381,2101800
2019-12-18,290.410004,292.250000,286.890015,288.019989,285.171570,1411600
2019-12-19,290.609985,293.410004,288.279999,293.290009,290.389465,1332400
2019-12-20,297.790009,299.390015,293.720001,297.410004,294.468719,3350900
2019-12-23,298.380005,299.000000,294.269989,294.450012,291.538025,1160900
2019-12-24,295.690002,296.079987,292.119995,294.480011,291.567719,386600
2019-12-26,294.970001,295.320007,293.140015,294.920013,292.003357,622000
2019-12-27,295.920013,296.369995,292.769989,293.700012,290.795410,608200
2019-12-30,292.510010,293.209991,287.640015,292.540009,289.646881,850600
2019-12-31,291.500000,292.589996,288.519989,292.399994,289.508240,915400
2020-01-02,295.779999,299.799988,294.489990,297.890015,294.944000,1506400
2020-01-03,292.049988,296.809998,291.720001,294.690002,291.775635,962200
2020-01-06,289.790009,292.029999,287.540009,289.190002,286.330017,1340500
2020-01-07,291.739990,298.540009,291.380005,296.239990,293.310272,1559500
2020-01-08,297.480011,301.670013,295.200012,299.970001,297.003387,1553700
2020-01-09,302.119995,303.880005,293.500000,297.929993,294.983582,1374800
2020-01-10,299.109985,301.279999,292.950012,294.339996,291.429077,1405200
2020-01-13,294.380005,297.329987,292.510010,297.290009,294.349915,1399400
2020-01-14,300.140015,304.369995,296.739990,300.760010,297.785614,1731900
2020-01-15,299.279999,300.549988,296.720001,298.339996,295.389526,1082900
2020-01-16,301.820007,307.260010,300.950012,305.950012,302.924286,1606800
2020-01-17,307.049988,308.489990,302.160004,308.000000,304.953979,1929900
2020-01-21,308.190002,311.910004,307.309998,308.679993,305.627258,1500000
2020-01-22,311.000000,315.359985,310.750000,311.339996,308.260925,1504000
2020-01-23,312.000000,312.679993,307.549988,312.420013,309.330261,1556600
2020-01-24,315.890015,316.730011,303.709991,306.540009,303.508423,1632200
2020-01-27,297.029999,298.679993,292.690002,293.790009,290.884521,1910900
2020-01-28,298.779999,303.250000,293.359985,301.690002,298.706390,1815000
2020-01-29,302.230011,303.989990,295.910004,298.220001,295.270691,1808000
2020-01-30,318.399994,319.000000,305.760010,310.950012,307.874847,3943100
2020-01-31,308.000000,308.970001,297.269989,298.209991,295.260803,2436500
2020-02-03,300.000000,309.579987,300.000000,308.440002,305.389648,1947800
2020-02-04,316.559998,326.820007,316.119995,325.399994,322.181885,2531000
2020-02-05,331.230011,332.529999,323.700012,325.619995,322.399719,2157200
2020-02-06,326.000000,326.850006,323.000000,323.519989,320.320465,1262500
2020-02-07,320.630005,321.279999,314.720001,315.399994,312.280792,1602600
2020-02-10,313.980011,319.890015,313.000000,319.829987,316.666962,1088400
2020-02-11,322.869995,326.829987,322.869995,325.670013,322.449249,1520700
2020-02-12,328.000000,335.179993,328.000000,334.619995,331.310699,1687200
2020-02-13,335.049988,344.320007,333.619995,341.579987,338.201874,2110200
2020-02-14,341.489990,344.209991,336.760010,339.299988,335.944427,1109900
2020-02-18,323.239990,332.000000,323.000000,325.339996,322.122498,2749400
2020-02-19,331.179993,335.410004,330.299988,333.850006,330.548340,1539600
2020-02-20,331.950012,334.040009,324.019989,328.489990,325.241333,1887800
2020-02-21,326.220001,327.040009,315.239990,316.799988,313.666962,2160600
2020-02-24,299.200012,305.309998,295.119995,300.459991,297.488525,3102200
2020-02-25,305.820007,306.899994,289.390015,292.220001,289.330048,2549800
2020-02-26,296.239990,304.630005,294.619995,296.600006,293.666748,2379600
2020-02-27,285.640015,293.760010,282.010010,285.700012,282.874542,2872200
2020-02-28,275.820007,294.450012,273.660004,293.429993,290.528076,3195600
2020-03-02,296.640015,300.549988,284.019989,300.329987,297.359833,2347300
2020-03-03,300.299988,308.299988,288.589996,291.459991,288.577545,2510300
2020-03-04,298.869995,306.299988,293.799988,306.239990,303.211395,1917000
2020-03-05,297.850006,309.649994,296.000000,299.130005,296.171692,2037000
2020-03-06,290.769989,298.670013,285.250000,294.410004,291.498413,2048600
2020-03-09,273.000000,283.260010,267.230011,267.600006,264.953522,2649500
2020-03-10,275.679993,287.859985,267.440002,287.570007,284.726044,2372500
2020-03-11,278.540009,284.489990,272.579987,276.630005,273.894226,3144100
2020-03-12,257.070007,265.589996,237.449997,237.850006,235.497757,3684400
2020-03-13,254.000000,262.940002,242.630005,261.779999,259.191101,2692000
2020-03-16,223.820007,245.770004,213.080002,213.539993,211.428162,3096000
2020-03-17,217.070007,237.830002,203.729996,229.300003,227.032303,3669400
2020-03-18,203.440002,215.339996,181.380005,194.139999,192.220016,3607200
2020-03-19,190.520004,201.399994,187.020004,195.009995,193.081406,3343900
2020-03-20,200.009995,224.139999,187.110001,187.889999,186.031830,3904500
2020-03-23,190.679993,199.949997,185.839996,192.850006,190.942780,3027200
2020-03-24,209.490005,232.630005,207.369995,230.639999,229.728973,2921200
2020-03-25,231.820007,250.110001,228.309998,233.550003,232.627487,2837400
2020-03-26,240.179993,260.980011,235.000000,260.339996,259.311646,3166300
2020-03-27,253.350006,262.880005,240.399994,241.220001,240.267181,3203300
2020-03-30,246.460007,257.929993,241.240005,255.300003,254.291565,2129800
2020-03-31,252.250000,254.990005,238.089996,240.000000,239.052002,2783600
2020-04-01,228.949997,237.199997,220.210007,223.330002,222.447845,2465500
2020-04-02,219.580002,226.360001,215.919998,220.570007,219.698761,1891400
2020-04-03,223.059998,224.440002,213.289993,218.149994,217.288300,1490600
2020-04-06,231.619995,252.399994,229.080002,250.750000,249.759537,3327200
2020-04-07,264.179993,265.000000,251.440002,256.220001,255.207932,2577800
2020-04-08,259.890015,272.269989,257.329987,266.750000,265.696350,1892300
2020-04-09,271.700012,277.420013,255.759995,258.279999,257.259796,2620600
2020-04-13,256.209991,259.299988,250.240005,258.779999,257.757813,1410700
2020-04-14,266.200012,274.489990,263.589996,272.510010,271.433594,1626800
2020-04-15,266.000000,266.399994,258.549988,262.809998,261.771912,1542800
2020-04-16,270.010010,274.940002,263.290009,270.709991,269.640686,2077800
2020-04-17,278.160004,280.220001,271.470001,279.019989,277.917847,1831600
2020-04-20,273.029999,274.920013,266.339996,266.730011,265.676422,1782300
2020-04-21,262.420013,263.410004,242.570007,243.630005,242.667664,2999000
2020-04-22,255.460007,273.369995,255.460007,271.779999,270.706482,3581000
2020-04-23,268.850006,276.470001,262.790009,263.959991,262.917358,2624900
2020-04-24,268.529999,268.679993,258.109985,266.670013,265.616669,1528900
2020-04-27,270.200012,274.429993,262.880005,264.410004,263.365570,2136100
2020-04-28,270.230011,271.489990,259.470001,261.850006,260.815704,1731600
2020-04-29,268.000000,281.950012,265.170013,279.989990,278.884033,2155800
2020-04-30,275.000000,275.690002,254.710007,255.279999,254.271637,3887100
